        step	          pH	          pe	          Ca	           S	          Fe	          Al	          Mn	        C(4)	      Gypsum	    d_Gypsum	  Fe(OH)3(a)	d_Fe(OH)3(a)	    Gibbsite	  d_Gibbsite	     Calcite	   d_Calcite	  si_Calcite	   si_Gypsum	si_Fe(OH)3(a)	 si_Gibbsite	
          56	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  6.3167e-03	  6.3167e-03	      0.0000	      0.0000	      0.0000	      0.0000	
          57	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  6.8167e-03	  6.8167e-03	      0.0000	      0.0000	     -0.0000	      0.0000	
          58	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  7.3167e-03	  7.3167e-03	      0.0000	      0.0000	     -0.0000	      0.0000	
          59	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  7.8167e-03	  7.8167e-03	      0.0000	      0.0000	      0.0000	      0.0000	
          60	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  8.3167e-03	  8.3167e-03	      0.0000	      0.0000	      0.0000	      0.0000	
          61	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  8.8167e-03	  8.8167e-03	      0.0000	      0.0000	      0.0000	     -0.0000	
          62	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  9.3167e-03	  9.3167e-03	      0.0000	      0.0000	      0.0000	      0.0000	
          63	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  9.8167e-03	  9.8167e-03	      0.0000	      0.0000	      0.0000	      0.0000	
          64	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.0317e-02	  1.0317e-02	      0.0000	      0.0000	     -0.0000	      0.0000	
          65	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.0817e-02	  1.0817e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          66	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.1317e-02	  1.1317e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          67	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.1817e-02	  1.1817e-02	      0.0000	      0.0000	      0.0000	      0.0000	
          68	     7.70023	    -2.63313	  1.4959e-02	  2.0436e-02	  8.9865e-03	  1.7408e-07	  9.1352e-04	  5.7131e-04	  6.7285e-03	  6.7285e-03	  8.9834e-04	  8.9834e-04	  7.4377e-03	  7.4377e-03	  1.2317e-02	  1.2317e-02	      0.0000	      0.0000	      0.0000	      0.0000	
